Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
4,semiregular,3,538,70,80,0.884868421,0.870550162,0.9935,0.877650897
5,regular,1,740,1,603,0.998650472,0.551005212,0.7136,0.710172745
5,irregular,1,106,431,432,0.197392924,0.197026022,2.4793,0.197209302
5,semiregular,1,545,192,194,0.739484396,0.737483085,1.1063,0.738482385
5,regular,2,683,2,717,0.997080292,0.487857143,0.659,0.655155875
5,irregular,2,124,554,557,0.182890855,0.182085169,3.1382,0.182487123
5,semiregular,2,493,142,205,0.776377953,0.706303725,0.9551,0.739684921
5,regular,3,1044,92,95,0.919014085,0.916593503,1.091,0.917802198
5,irregular,3,180,719,722,0.200222469,0.199556541,4.1567,0.199888951
5,semiregular,3,614,139,141,0.815405046,0.813245033,1.1302,0.814323607
6,regular,1,843,15,125,0.982517483,0.870867769,0.9421,0.923329682
6,irregular,1,99,428,430,0.187855787,0.187145558,2.7128,0.1875
6,semiregular,1,564,126,143,0.817391304,0.797736917,0.9914,0.807444524
6,regular,2,675,10,467,0.98540146,0.591068301,0.7519,0.738916256
6,irregular,2,117,420,423,0.217877095,0.216666667,2.7692,0.217270195
6,semiregular,2,519,91,272,0.850819672,0.656131479,0.8716,0.740899358
6,regular,3,913,64,66,0.934493347,0.93258427,1.0699,0.933537832
6,irregular,3,184,509,511,0.265512266,0.264748201,3.5641,0.265129683
6,semiregular,3,652,77,79,0.894375857,0.891928865,1.0428,0.893150685
7,regular,1,1112,4,228,0.996415771,0.829850746,0.9106,0.905537459
7,irregular,1,107,525,527,0.169303797,0.168769716,2.8178,0.169036335
7,semiregular,1,542,110,326,0.831288344,0.624423963,0.8594,0.713157895
7,regular,2,578,4,1298,0.993127148,0.308102345,0.4748,0.470301058
7,irregular,2,130,681,683,0.160295931,0.159901599,3.6133,0.160098522
7,semiregular,2,473,93,481,0.835689046,0.495807128,0.7464,0.622368421
7,regular,3,1162,4,129,0.996569468,0.900077459,0.9504,0.945868946
7,irregular,3,201,521,523,0.278393352,0.277624309,3.2178,0.278008299
7,semiregular,3,683,117,119,0.85375,0.851620948,1.0539,0.852684145
8,regular,1,782,2,501,0.99744898,0.609508963,0.7604,0.756652153
8,irregular,1,111,641,643,0.147606383,0.147214854,3.1029,0.147410359
8,semiregular,1,597,148,308,0.801342282,0.659668508,0.9057,0.723636364
8,regular,2,607,4,849,0.993453355,0.416895604,0.5932,0.587324625
8,irregular,2,130,869,872,0.13013013,0.129740519,4.1235,0.129935032
8,semiregular,2,526,66,533,0.888513514,0.496694995,0.7195,0.637189582
8,regular,3,1033,130,133,0.88822012,0.88593482,1.1266,0.887075998
8,irregular,3,225,1102,1105,0.169555388,0.169172932,5.4733,0.169363944
8,semiregular,3,752,108,110,0.874418605,0.872389791,1.0423,0.87340302
9,regular,1,1053,13,89,0.987804878,0.92206655,0.9684,0.953804348
9,irregular,1,110,526,527,0.172955975,0.172684458,2.3947,0.17282011
9,semiregular,1,520,68,291,0.884353741,0.641183724,0.8431,0.743388134
9,regular,2,639,7,927,0.989164087,0.408045977,0.5854,0.577757685
9,irregular,2,167,721,724,0.188063063,0.187429854,3.3496,0.187745925
9,semiregular,2,478,43,400,0.917466411,0.544419134,0.7475,0.683345247
9,regular,3,1068,14,62,0.987060998,0.945132743,0.9792,0.965641953
9,irregular,3,223,498,500,0.309292649,0.308437068,2.718,0.308864266
9,semiregular,3,649,39,63,0.943313953,0.911516854,0.9843,0.927142857
10,regular,1,683,17,640,0.975714286,0.516250945,0.6953,0.6752348
10,irregular,1,140,434,436,0.243902439,0.243055556,2.332,0.243478261
10,semiregular,1,487,82,253,0.855887522,0.658108108,0.872,0.74407945
10,regular,2,831,17,345,0.97995283,0.706632653,0.8402,0.821146245
10,irregular,2,151,528,530,0.222385862,0.221732746,2.7571,0.222058824
10,semiregular,2,510,69,221,0.880829016,0.697674419,0.8857,0.778625954
10,regular,3,1013,186,190,0.844870726,0.842061513,1.1864,0.84346378
10,irregular,3,217,608,611,0.263030303,0.262077295,3.3522,0.262552934
10,semiregular,3,599,64,67,0.90346908,0.899399399,1.0152,0.901429646
11,regular,1,681,0,775,1,0.46771978,0.6393,0.637342068
11,irregular,1,114,471,473,0.194871795,0.194207836,2.4561,0.194539249
11,semiregular,1,520,133,225,0.796324655,0.697986577,0.9357,0.743919886
11,regular,2,705,0,727,1,0.492318436,0.6617,0.659803463
11,irregular,2,122,495,496,0.197730956,0.197411003,2.5858,0.19757085
11,semiregular,2,413,88,483,0.824351297,0.4609375,0.72,0.591267001
11,regular,3,1031,15,62,0.985659656,0.943275389,0.9785,0.96400187
11,irregular,3,212,364,366,0.368055556,0.366782007,2.4184,0.367417678
11,semiregular,3,620,88,90,0.875706215,0.873239437,1.0143,0.874471086
12,regular,1,846,3,315,0.996466431,0.728682171,0.8471,0.841791045
12,irregular,1,108,474,476,0.18556701,0.184931507,2.8627,0.185248714
12,semiregular,1,499,168,171,0.748125937,0.744776119,1.0452,0.74644727
12,regular,2,744,2,521,0.997319035,0.588142292,0.7438,0.739930383
12,irregular,2,99,564,567,0.149321267,0.148648649,3.2647,0.148984199
12,semiregular,2,476,127,201,0.789386401,0.70310192,0.9438,0.74375
12,regular,3,958,7,85,0.992746114,0.918504314,0.9643,0.954183267
12,irregular,3,194,473,474,0.290854573,0.290419162,3.2745,0.290636704
12,semiregular,3,595,105,107,0.85,0.847578348,1.0952,0.848787447
13,regular,1,755,3,483,0.996042216,0.609854604,0.762,0.756513026
13,irregular,1,94,707,709,0.117353308,0.117061021,3.7176,0.117206983
13,semiregular,1,601,82,342,0.879941435,0.637327678,0.8429,0.739237392
13,regular,2,713,0,571,1,0.55529595,0.716,0.714071107
13,irregular,2,140,980,982,0.125,0.124777184,5.1944,0.124888492
13,semiregular,2,574,77,402,0.88172043,0.588114754,0.8025,0.705593116
13,regular,3,975,83,86,0.921550095,0.918944392,1.061,0.920245399
13,irregular,3,192,801,804,0.193353474,0.192771084,4.6111,0.19306184
13,semiregular,3,732,60,103,0.924242424,0.876646707,0.9755,0.899815612
14,regular,1,901,3,294,0.996681416,0.753974895,0.8641,0.85850405
14,irregular,1,93,462,464,0.167567568,0.166965889,2.5668,0.167266187
14,semiregular,1,725,170,203,0.810055866,0.78125,0.9836,0.795392211
14,regular,2,729,1,640,0.998630137,0.532505478,0.6987,0.694616484
14,irregular,2,110,507,510,0.17828201,0.177419355,2.8571,0.177849636
14,semiregular,2,602,71,549,0.894502229,0.523023458,0.7393,0.660087719
14,regular,3,991,1,119,0.998991935,0.892792793,0.9449,0.942911513
14,irregular,3,200,585,587,0.25477707,0.254129606,3.6267,0.254452926
14,semiregular,3,670,187,296,0.781796966,0.693581781,0.9419,0.735052112
15,regular,1,892,1,137,0.998880179,0.86686103,0.9326,0.928199792
15,irregular,1,96,476,476,0.167832168,0.167832168,2.6284,0.167832168
15,semiregular,1,581,163,220,0.780913978,0.725343321,0.9651,0.75210356
15,regular,2,637,2,649,0.99687011,0.49533437,0.666,0.661818182
15,irregular,2,147,757,760,0.162610619,0.162072767,4.1606,0.162341248
15,semiregular,2,604,75,262,0.889543446,0.697459584,0.8811,0.781877023
15,regular,3,960,59,61,0.942100098,0.940254652,1.0591,0.941176471
15,irregular,3,204,693,696,0.227424749,0.226666667,4.1284,0.227045075
15,semiregular,3,692,77,85,0.899869961,0.890604891,0.9961,0.895213454
16,regular,1,578,2,1057,0.996551724,0.35351682,0.5257,0.521896163
16,irregular,1,110,367,369,0.230607966,0.229645094,1.761,0.230125523
16,semiregular,1,469,77,345,0.858974359,0.576167076,0.8047,0.689705882
16,regular,2,706,5,798,0.992967651,0.469414894,0.6438,0.637471783
16,irregular,2,162,535,538,0.232424677,0.231428571,2.5735,0.231925555
16,semiregular,2,482,86,309,0.848591549,0.609355247,0.8385,0.709345107
16,regular,3,949,6,311,0.993717277,0.753174603,0.8638,0.856884876
16,irregular,3,220,447,449,0.329835082,0.328849028,2.4596,0.329341317
16,semiregular,3,580,87,113,0.869565217,0.836940837,0.9824,0.852941176
17,regular,1,686,0,683,1,0.50109569,0.6696,0.667639903
17,irregular,1,95,437,437,0.178571429,0.178571429,2.2208,0.178571429
17,semiregular,1,570,74,457,0.885093168,0.555014606,0.773,0.682226212
17,regular,2,611,0,833,1,0.423130194,0.5967,0.594647202
17,irregular,2,97,560,561,0.147640791,0.147416413,2.7417,0.147528517
